year;month;day;hora;marginalPT;marginalES;
2018;01;14;8;45.01;45.01;
2018;01;14;9;45.21;45.21;
2018;01;14;10;47.66;47.66;
2018;01;14;11;53.9;53.9;
2018;01;14;12;54.8;54.8;
2018;01;14;13;54.8;54.8;
2018;01;14;14;58.11;58.11;
2018;01;14;15;58.53;58.53;
2018;01;14;16;53.9;53.9;
2018;01;14;17;53.15;53.15;
2018;01;14;18;54.8;54.8;
2018;01;14;19;60.82;60.82;
2018;01;14;20;64.97;64.97;
2018;01;14;21;67.19;67.19;
2018;01;14;22;67.92;67.92;
2018;01;14;23;66.01;66.01;
2018;01;14;24;61.24;61.24;
2018;01;15;1;60.82;60.82;
2018;01;15;2;53.6;53.6;
2018;01;15;3;47.66;47.66;
2018;01;15;4;46.14;46.14;
2018;01;15;5;45.69;45.69;
2018;01;15;6;47.13;47.13;
2018;01;15;7;55.55;55.55;
2018;01;15;8;60.9;60.9;
2018;01;15;9;64.99;64.99;
2018;01;15;10;66.01;66.01;
2018;01;15;11;65.03;65.03;
2018;01;15;12;62.07;62.07;
2018;01;15;13;61.01;61.01;
2018;01;15;14;60.9;60.9;
2018;01;15;15;58.7;58.7;
2018;01;15;16;57.83;57.83;
2018;01;15;17;56;56;
2018;01;15;18;57.83;57.83;
2018;01;15;19;61.59;61.59;
2018;01;15;20;64.28;64.28;
2018;01;15;21;65.23;65.23;
2018;01;15;22;62.4;62.4;
2018;01;15;23;58.15;58.15;
2018;01;15;24;52.32;52.32;
2018;01;16;1;44.5;44.5;
2018;01;16;2;43.92;41.3;
2018;01;16;3;39.47;38;
2018;01;16;4;38.64;35.1;
2018;01;16;5;39.04;35.1;
2018;01;16;6;39.1;39.1;
2018;01;16;7;43.03;43.03;
2018;01;16;8;51.89;51.89;
2018;01;16;9;60.82;60.82;
2018;01;16;10;63.45;63.45;
2018;01;16;11;61.99;61.99;
2018;01;16;12;60.32;60.32;
2018;01;16;13;58.03;58.03;
2018;01;16;14;56.16;56.16;
2018;01;16;15;54.5;54.5;
2018;01;16;16;51.95;51.95;
2018;01;16;17;49.43;49.43;
2018;01;16;18;52.1;52.1;
2018;01;16;19;59.02;59.02;
2018;01;16;20;61.59;61.59;
