year;month;day;hora;marginalPT;marginalES
2018;05;12;22;38.55;38.55
2018;05;12;23;39.9;39.9
2018;05;12;24;38.05;38.05
2018;05;13;1;36;36
2018;05;13;2;34.76;34.76
2018;05;13;3;34.5;34.5
2018;05;13;4;33.49;33.49
2018;05;13;5;34.05;34.05
2018;05;13;6;34.05;34.05
2018;05;13;7;34.27;34.27
2018;05;13;8;31.77;31.77
2018;05;13;9;34.05;34.05
2018;05;13;10;34.5;34.5
2018;05;13;11;34.5;34.5
2018;05;13;12;34.76;34.76
2018;05;13;13;34.76;34.76
2018;05;13;14;34.61;34.61
2018;05;13;15;34.5;34.5
2018;05;13;16;34.05;22.45
2018;05;13;17;32.35;15
2018;05;13;18;29.21;15
2018;05;13;19;28.69;17.48
2018;05;13;20;34.05;34.05
2018;05;13;21;36.56;36.56
2018;05;13;22;55.16;55.16
2018;05;13;23;56.18;56.18
2018;05;13;24;55.02;55.02
2018;05;14;1;55.62;55.62
2018;05;14;2;50.97;50.97
2018;05;14;3;45.73;45.73
2018;05;14;4;44.15;44.15
2018;05;14;5;44.27;44.27
2018;05;14;6;45.79;45.79
2018;05;14;7;53.74;53.74
2018;05;14;8;54.92;54.92
2018;05;14;9;58.01;58.01
2018;05;14;10;55.83;55.83
2018;05;14;11;53.71;53.71
2018;05;14;12;52.62;52.62
2018;05;14;13;53.71;53.71
2018;05;14;14;53.59;53.59
2018;05;14;15;53.71;53.71
2018;05;14;16;52.62;52.62
2018;05;14;17;52.47;52.47
2018;05;14;18;52.49;52.49
2018;05;14;19;52;52
2018;05;14;20;51.47;51.47
2018;05;14;21;55;55
2018;05;14;22;57.35;57.35
2018;05;14;23;55.5;55.5
2018;05;14;24;51.84;51.84
2018;05;15;1;50.12;50.12
2018;05;15;2;45.88;45.88
2018;05;15;3;40;40
2018;05;15;4;36.65;36.65
2018;05;15;5;36.6;36.6
2018;05;15;6;39.98;39.98
2018;05;15;7;47.5;47.5
2018;05;15;8;54.6;54.6
2018;05;15;9;58.6;58.6
2018;05;15;10;57.01;57.01
2018;05;15;11;55;55
2018;05;15;12;54.92;54.92
2018;05;15;13;55;55
2018;05;15;14;53.87;53.87
2018;05;15;15;52.47;52.47
2018;05;15;16;51.37;51.37
2018;05;15;17;50.63;50.63
2018;05;15;18;50;50
2018;05;15;19;47.9;47.9
2018;05;15;20;50;50
2018;05;15;21;52;52
2018;05;15;22;56.16;56.16
2018;05;15;23;52.49;52.49
2018;05;15;24;47.76;47.76
2018;05;16;1;46.76;46.76
2018;05;16;2;40;40
2018;05;16;3;38.2;38
2018;05;16;4;36.87;36.87
2018;05;16;5;38;38
2018;05;16;6;39.9;39.9
2018;05;16;7;46.78;46.78
2018;05;16;8;55.01;55.01
2018;05;16;9;57.67;57.67
2018;05;16;10;57.12;57.12
2018;05;16;11;55.55;55.55
2018;05;16;12;56.23;56.23
2018;05;16;13;56.97;56.97
2018;05;16;14;56.97;56.97
2018;05;16;15;56.23;56.23
2018;05;16;16;56.4;56.4
